baseline_modelName,target_isClose,period,GLOBAL_SEED,rmse,mae,r2,n_days,trading_days,skipped_trades,gap_skips,edge_skips,trade_rate,win_days,win_rate,compound_gross_return,total_return,annualized_return,cagr,sharpe_ratio,sortino_ratio,omega_ratio,max_drawdown,calmar_ratio,profit_factor,volatility,risk_free_rate,execution_threshold,max_gap
baseline_BuyAndHold,False,validating,500000,1.0412354479202202,0.7095458342269183,-0.0018586195991059373,757,756,0,0,0,0.9986789960369881,418,0.5529100529100529,0.4146926234116757,0.3877718599184946,0.12241730690978159,0.12279645065398204,0.7834185471933404,0.7332600738671555,1.156380559126674,0.18220816418626676,0.6718541260568187,1.156380559126674,0.16477339949898062,0.0,0.0,0.02
baseline_BuyAndHold,False,testing,500000,0.9201251657475372,0.6970782524699964,-0.0028931354947629995,751,750,0,0,0,0.9986684420772304,402,0.536,0.4427783633803053,0.3983050034614397,0.13088865200405708,0.13082516639489805,0.9169512085303849,0.8925387816157369,1.1651257466330731,0.20430367714606895,0.6406573480832503,1.1651257466330731,0.1457572408239148,0.0,0.0,0.02
baseline_LGBM,False,training,10,0.06204101731839846,0.029362860689410634,0.9972784954139866,3262,1692,0,0,0,0.5187001839362354,1666,0.9846335697399528,1228571.219204359,14.133862122786669,1.954104161464683,1.9480027704861635,9.59190658028708,375.31616864018736,4912.595716488409,0.00029578852916383645,6606.423065115923,4912.595716488409,0.1138341303796284,0.0,0.0,0.02
baseline_LGBM,False,validating,10,1.202554990521402,0.8844281708642745,-0.336344526658956,757,206,0,0,0,0.27212681638044917,118,0.5728155339805825,0.1932889337585202,0.18724353117283832,0.060591341497116424,0.060773819790397976,0.7454789246269192,0.3538508219940671,1.330191129786435,0.11643873847146692,0.5203709890069292,1.330191129786435,0.08361344434594821,0.0,0.0,0.02
baseline_LGBM,False,testing,10,1.2024739751337505,0.9681388262407041,-0.7128219205557733,751,103,0,0,0,0.13715046604527298,71,0.6893203883495146,0.4285295960988893,0.3610341985922948,0.12712864589517991,0.1270670844949655,2.2449450360053835,1.000937352645701,3.0383175752690597,0.03872789987606825,3.2826114068152337,3.0383175752690597,0.05396388812806181,0.0,0.0,0.02
baseline_LGBM,False,training,200,0.06440501880359424,0.029540154519355058,0.997067144459299,3262,1688,0,0,0,0.5174739423666462,1668,0.9881516587677726,1229270.7789699803,14.134431358338604,1.9542340744176325,1.948132167655218,9.592434625500928,319.06064345666255,5645.474393901755,0.00035353461251648834,5527.702253839403,5645.474393901755,0.11383244839901985,0.0,0.0,0.02
baseline_LGBM,False,validating,200,1.1732742665697071,0.8517621111974734,-0.27206012799885837,757,223,0,0,0,0.29458388375165123,127,0.5695067264573991,0.24361714348305163,0.23188357479734678,0.07527745349659498,0.07550571245341997,0.8026013125997491,0.42741595995447323,1.3485298233414842,0.14855251820028081,0.506739666271458,1.3485298233414842,0.09617778758504136,0.0,0.0,0.02
baseline_LGBM,False,testing,200,1.14708843203589,0.9139932209082374,-0.5586716666822844,751,118,0,0,0,0.15712383488681758,74,0.6271186440677966,0.33729252923082464,0.29579574152316457,0.10244162470238716,0.10239255405326642,1.6910391668546862,0.791187097905264,2.1479625202905157,0.05253554496800691,1.9499488349225662,2.1479625202905157,0.05869469558033908,0.0,0.0,0.02
baseline_LGBM,False,training,3000,0.060881644470539314,0.02863955688692553,0.9973792596300518,3262,1689,0,0,0,0.5177805027590435,1666,0.9863824748371818,1229046.7578820128,14.13424917952773,1.954192479621883,1.9480907380014258,9.592261445297071,292.08974408096054,5451.394328569707,0.0003535346125165248,5527.584599741392,5451.394328569707,0.11383303633410685,0.0,0.0,0.02
baseline_LGBM,False,validating,3000,1.1576968054918098,0.842058088117193,-0.2385062973713994,757,231,0,0,0,0.3051519154557464,133,0.5757575757575758,0.3853753516139109,0.3373988620743624,0.11461995795484836,0.1149737364026886,1.2901326734441414,0.7058605234049149,1.5754707444729037,0.10306172022547898,1.112148697926662,1.5754707444729037,0.08705904536699458,0.0,0.0,0.02
