baseline_modelName,target,period,rmse,mae,r2,trading_days,trade_rate,win_rate,total_return,annualized_return,cagr,sharpe_ratio,sortino_ratio,omega_ratio,max_drawdown,calmar_ratio,profit_factor,volatility
baseline_LSTM,Close,training,17.417131640229556,12.951982081039072,0.9967868476843478,1569.0,0.48247232472324725,0.6582838435355398,6.9464570200108,0.6989948050725052,0.6973672406381107,4.271089889692507,3.98229969679434,3.2366746685018115,0.0758799570244975,9.594735045888386,3.2366746685018115,0.12607190307802674
baseline_EAF,Close,training,38.74241655281696,22.889167382423313,0.9795817770043138,1700.8,0.5213979153893318,0.6253467813342526,6.078882270123284,0.6156059877733495,0.61406819251103,3.574719380606106,3.5447078921375814,2.891388373448417,0.29619868925497755,7.418085812923772,2.891388373448417,0.1327419359664108
baseline_BuyAndHold,Close,training,780.616931906994,716.2540588940235,-5.324936074250366,3261.0,0.9996934396076027,0.5148727384237963,1.0769871552611778,0.06757749178506645,0.06744424939914984,0.44130736118970504,0.43130743100978924,1.082454280930039,0.443638441258952,0.1523256000839238,1.082454280930039,0.18853237393656844
baseline_ARIMA,Close,training,16.812881249328033,9.61741191927163,0.9970659703562467,1679.0,0.5147148988350705,0.49195949970220376,0.3016297709634077,0.015618402236337259,0.015588359725813516,0.18663194117189036,0.1341768379109362,1.0470400483181475,0.3924060493614566,0.03980163471422606,1.0470400483181472,0.12485467692125571
baseline_EAF,LogReturn,testing,0.9633370591232829,0.7327291740368451,-0.09930443922899612,358.2,0.4769640479360852,0.5773743861951323,0.41233116636183337,0.14298437230821875,0.14291447505016497,1.3740448344704146,0.9277314761174488,1.3987447178127321,0.0915468973675435,1.6667267761496682,1.3987447178127321,0.10035084443235617
baseline_XGBM,LogReturn,testing,0.9192519982691737,0.6971533206522376,-0.0009918842342554247,341.2,0.45432756324900136,0.5690563598613497,0.4050456958907951,0.14065453265749378,0.14058582735396413,1.4012624181290956,0.958040193582163,1.4162525784997932,0.09045395303245517,1.6518912827807797,1.4162525784997932,0.09648592684492079
baseline_BuyAndHold,LogReturn,testing,0.9201251657475373,0.6970782524699964,-0.0028931354947629995,750.0,0.9986684420772305,0.536,0.3983050034614397,0.13088865200405708,0.13082516639489805,0.9169512085303848,0.8925387816157369,1.1651257466330731,0.20430367714606895,0.6406573480832503,1.1651257466330731,0.1457572408239148
baseline_LGBM,LogReturn,testing,1.1624358170975846,0.9290181147095948,-0.6013913782375644,115.6,0.15392809587217043,0.6280574541799393,0.30491568067354596,0.10593449098780008,0.10588363744269969,1.775573631062855,0.8352765022923905,2.2861989375812777,0.05492285447705816,2.098228711066352,2.2861989375812777,0.05787691657604305
baseline_LSTM,LogReturn,testing,1.073030934894606,0.8365945948745808,-0.36572428086063546,276.2,0.37273954116059377,0.515725391886666,0.017404934393287476,0.0020609277636898017,0.0020609480652052925,0.05938067705992915,0.033997685139829106,1.0198377235531888,0.15089541607755805,0.034805428760834346,1.0198377235531888,0.09143307845416018
baseline_ARIMA,LogReturn,testing,0.9201251657475373,0.6970782524699964,-0.0028931354947629995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline_BuyAndHold,Close,testing,797.596768289989,742.9905490595872,-6.562029106469164,750.0,0.9986684420772305,0.536,0.3983050034614397,0.13088865200405708,0.13082516639489805,0.9169512085303848,0.8925387816157369,1.1651257466330731,0.20430367714606895,0.6406573480832503,1.1651257466330731,0.1457572408239148
baseline_EAF,Close,testing,101.29850651010852,71.19042461613682,0.8780211500475046,326.0,0.4340878828229028,0.5061349693251533,0.046164159273071825,0.011066918910661805,0.011061840091967534,0.16353971062738148,0.10609661045198024,1.0422936363424302,0.1467503303668038,0.07541324699576443,1.0422936363424302,0.09472013526039058
baseline_XGBM,Close,testing,397.8572532717245,287.4495984520639,-0.8818375641958982,31.2,0.04154460719041279,0.4989551656920078,0.005791234747554186,0.001454701979269757,0.001454007665983692,0.034570848205856854,0.01500984812783076,1.0683078777150272,0.05909566855435015,0.027229722341566794,1.0683078777150272,0.03312525083266815
baseline_ARIMA,Close,testing,807.5911785224191,753.7094021122878,-6.752730837397072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline_LSTM,Close,testing,314.50035554394105,272.0573646123271,-0.1942425955863904,0.4,0.0005398110661268556,0.0,-0.001194463935718204,-0.0004067683921504583,-0.0004067717713955421,-0.23326584719068294,-0.008569235015593816,0.0,0.001194463935718204,-0.13616672964388016,0.0,0.0006965691047600608
baseline_LGBM,Close,testing,416.24786286433437,312.0883164898502,-1.0595958846433553,19.0,0.025299600532623166,0.3984920634920635,-0.02961346331327097,-0.010173842633662744,-0.010169223747889844,-0.442525023723986,-0.06626707591367051,0.6180058078824564,0.060738546485547204,-0.1754115855890107,0.6180058078824564,0.023797890633231455
